"id";"title";"legal_areas";"revisions";"nodes";"log_nodes";"log_section_nodes";"text_nodes";"nontext_nodes";"above_section_nodes";"section_nodes";"below_section_nodes";"mean_depth";"mean_leaf_depth";"tokens";"tokens_per_section";"tokens_per_text_node";"entropy_lemma";"entropy_word";"num_words";"num_sentences";"avg_sentence_length";"avg_syllables_per_word";"avg_word_length";"citations";"citations_internal";"citations_out";"citations_in";"citations_external";"net_flow";"net_flow_per_section";"flesch";"bijlage_cits";"unkown_doc";"empty_doc";"bad_doc"
"BWBR0001823";"Wet instelling van de Orde van de Nederlandse Leeuw";"Staats- en bestuursrecht";1;23;1.3617278360175928;1.0;16;7;0;10;12;1.4782608695652173;1.75;371;37.1;23.1875;4.638558824950107;4.625596192073985;371;23;18.604166666666668;1.7926763922352158;5.294306448795163;0;0;0;0;0;0;0.0;36.29134805023409;0;0;0;0
"BWBR0001826";"Stelselwet";"Belastingrecht";1;85;1.9294189257142929;1.2041199826559248;78;7;0;16;68;2.1176470588235294;2.3088235294117645;4725;295.3125;60.57692307692308;6.314440257476796;6.417565773181629;4699;231;27.93929823737516;1.9601912180919117;5.6365691337916;5;5;0;0;0;0;0.0;12.644435238488512;0;0;0;0
"BWBR0001827";"Wetboek van Burgerlijke Rechtsvordering (geldt in geval van digitaal procederen)";"Procesrecht";98;3631;3.560026248912892;2.999130541287371;2874;757;163;998;2469;4.750757367116496;5.016429353778752;106681;106.89478957915831;37.119345859429366;6.700639849642387;6.975501316361744;105081;4395;25.993475991649273;1.8326103733817631;5.487671579111141;2048;1090;431;1481;1912;-1050;-1.0521042084168337;25.412784280378844;0;47;9;56
"BWBR0001830";"Wet op de rechterlijke organisatie";"Procesrecht";46;834;2.921166050637739;2.24551266781415;683;151;29;176;628;4.375299760191846;4.648522550544324;18936;107.5909090909091;27.724743777452417;5.949586133563183;6.170346171393672;18672;917;20.385358711566617;2.0018301700306944;6.2170598291215935;454;141;192;196;388;-4;-0.022727272727272728;16.789028523163154;0;1;3;4
"BWBR0001833";"Wet algemene bepalingen ";"Staats- en bestuursrecht";3;9;0.9542425094393249;0.9030899869919435;8;1;0;8;0;0.8888888888888888;1.0;163;20.375;20.375;3.962212777150137;3.9804534924280306;163;9;19.0625;1.8119147157190636;5.469148401417423;0;0;0;1;1;-1;-0.125;34.19857755016724;0;0;0;0
"BWBR0001834";"Overgangswet";"Staats- en bestuursrecht";1;100;2.0;1.7708520116421442;73;27;14;59;26;2.1;2.3378378378378377;2825;47.88135593220339;38.6986301369863;5.515294654808164;5.674493577655109;2769;86;34.51027397260274;1.9057457936638833;5.658203271980674;20;19;1;1;2;0;0.0;10.5809777738437;0;0;0;0
"BWBR0001835";"Afschaffingswet";"Staats- en bestuursrecht";1;10;1.0;0.8450980400142568;8;2;0;7;2;1.1;1.25;311;44.42857142857143;38.875;4.033081231076981;4.082755240720008;307;12;27.125;1.9805702849652316;5.862595974287151;3;0;3;0;3;3;0.42857142857142855;11.746878891941435;0;0;0;0
"BWBR0001838";"Wetboek van Koophandel";"Ondernemingspraktijk";14;777;2.890421018800914;2.3710678622717363;549;228;93;235;448;4.409266409266409;4.670157068062827;17321;73.70638297872341;31.550091074681237;6.319699884243615;6.484595449917098;17217;730;24.927666464278484;1.808695122594979;5.481829883258184;132;64;27;53;80;-26;-0.11063829787234042;28.517811167222135;0;0;0;0
"BWBR0001840";"Grondwet";"Staats- en bestuursrecht";7;396;2.597695185925512;2.1702617153949575;308;88;15;148;232;3.0277777777777777;3.2532894736842106;7351;49.66891891891892;23.866883116883116;5.914047985352191;6.153959716964819;7307;533;15.458820346320346;1.844965090482329;5.542527118779615;42;35;2;126;128;-124;-0.8378378378378378;35.06025069367985;0;0;2;2
"BWBR0001842";"Onteigeningswet";"Ruimtelijke ordening en milieu";37;471;2.673020907128896;2.075546961392531;380;91;19;119;332;3.4501061571125264;3.725988700564972;15583;130.94957983193277;41.007894736842104;6.277388588366891;6.514627899583826;15314;588;28.666172248803836;1.88808491126003;5.60210528067476;572;223;109;70;179;39;0.3277310924369748;18.0068516748656;0;1;0;1
"BWBR0001844";"Wet ministeriële verantwoordelijkheid en ambtsdelicten leden Staten-Generaal, ministers en staatssecretarissen";"Staats- en bestuursrecht";3;52;1.7160033436347992;1.3222192947339193;36;16;6;21;24;3.1923076923076925;3.6176470588235294;920;43.80952380952381;25.555555555555557;4.706050411813605;4.850126247133785;909;43;22.319444444444443;1.8571710991080588;5.73351214039422;10;4;6;4;10;2;0.09523809523809523;27.06408890434713;0;0;0;0
